chr,start,end
chr13,61845643,61845725
chr13,62273052,62273230
chr13,62273921,62274010
chr6,125446626,125446844
chrX,120598513,120598566
chrX,120741666,120741721
chr10,43969972,43970076
chr15,79680609,79680662
chr18,50119290,50119349
chr19,18762126,18762241
chr7,19591958,19592011
chrX,166439326,166439391
chr18,67721597,67721650
chr7,30613743,30613809
chr17,71214803,71214923
chr9,20205023,20205169
chr5,115356638,115356711
chr17,17225676,17225846
chr12,58312913,58313000
chr14,49275168,49275225
chr12,24299884,24299970
chr9,121606810,121607005
chr11,49525672,49525805
chr1,9561203,9561344
chr11,46226030,46226083
chr12,18034227,18034345
chr15,75934462,75934516
chr15,76741433,76741498
chr2,31147122,31147187
chr1,44598643,44598707
chr11,6066423,6066582
chr11,103773911,103773981
chr12,12776816,12776870
chr12,22853955,22854071
chr12,104481021,104481101
chr12,112559305,112559473
chr13,66441915,66441971
chr14,12693801,12693891
chr15,61980954,61981129
chr17,22065488,22065669
chr19,5743438,5743497
chr2,150167582,150167653
chr2,158205620,158205709
chr3,102020803,102020866
chr4,140322671,140322766
chr5,76994463,76994614
chr5,105244264,105244318
chr5,118930377,118930481
chr6,125309027,125309188
chr6,136794161,136794244
chr7,48801123,48801312
chr7,49868076,49868335
chr8,27144016,27144073
chr8,71752211,71752372
chrX,121907301,121907354
chr12,21815205,21815267
chr6,114554476,114554565
chr2,20821496,20821572
chr8,73651005,73651104
chr7,140880458,140880511
chr8,48406708,48406858
chr16,93682934,93683024
chr2,154900900,154900981
chr18,21108485,21108672
chrX,166446838,166446894
chr17,17402211,17402289
chr7,50446284,50446337
chr8,15520026,15520097
chr19,3195175,3195237
chr3,41425356,41425468
chr10,12736519,12736698
chr15,102221760,102221817
chr17,46148947,46149007
chr17,25991046,25991099
chr3,68297064,68297117
chr15,101112155,101112208
chr12,19655778,19655850
chr12,23275170,23275344
chr6,114497246,114497307
chr9,111192501,111192582
chr11,13218403,13218456
chr13,62494880,62494933
chr13,66555748,66555843
chr6,47636434,47636552
chr8,93938495,93938568
chr7,127347483,127347623
chr15,96095222,96095286
chr12,22713615,22713704
chr2,29933013,29933080
chr12,5064945,5065002
chr16,90166614,90166783
chr6,47618027,47618153
chr14,52899050,52899103
chr8,111249935,111250039
chr10,125386535,125386676
chr10,43931050,43931134
chr10,126950020,126950110
chr10,128071117,128071208
chr12,24299082,24299135
chr14,53137177,53137274
chr4,115156337,115156429
chr4,139167659,139167824
chr4,155147248,155147321
chr7,67041994,67042073
chr8,74456451,74456784
chrX,120552927,120552987
chr13,48585650,48585721
chr13,66954383,66954438
chr8,56208918,56209009
chr12,21814242,21815040
chr14,46967608,46967694
chr5,15177014,15177094
chr11,18009236,18009298
chr18,13455110,13455260
chr6,114584227,114584291
chr7,29113430,29113483
chr4,146549211,146549264
chr10,5411199,5411252
chr5,147072583,147072662
chr6,114569266,114569319
chr1,72481452,72481514
chr1,93789594,93789647
chr1,127808442,127808538
chr1,195415100,195415247
chr10,81182975,81183054
chr10,81183766,81183819
chr10,81571801,81571900
chr11,5920537,5920622
chr11,33859405,33859495
chr11,121721174,121721262
chr12,19631880,19631968
chr12,112045156,112045252
chr12,117298813,117298886
chr13,59438226,59438324
chr13,65521580,65521643
chr13,67925974,67926032
chr14,51702443,51702496
chr14,67306648,67306709
chr14,70492687,70492764
chr15,97645898,97645951
chr17,22476173,22476235
chr18,49847674,49847727
chr2,3429474,3429543
chr2,35819448,35819528
chr2,130117386,130117454
chr2,150234518,150234652
chr3,37525150,37525238
chr3,107133239,107133326
chr4,8699496,8699604
chr4,40511225,40511308
chr4,48420830,48420907
chr4,61813003,61813134
chr5,138586376,138586429
chr5,138897804,138897903
chr6,67068172,67068253
chr6,112153342,112153395
chr6,121315318,121315371
chr7,6268071,6268160
chr7,19927328,19927381
chr7,25081732,25081814
chr7,26998154,26998207
chr7,48736014,48736089
chr7,90938514,90938569
chr8,102774817,102774873
chr8,120861655,120861724
chr8,127719921,127719988
chr9,20274991,20275084
chr9,49980455,49980508
chrX,11209513,11209627
chr1,59156339,59156428
chr8,19989812,19989896
chr11,69026951,69027004
chr13,63661450,63661503
chr3,100630523,100630576
chr7,30679859,30679922
chr9,75233687,75233740
chr8,72071940,72071993
chr17,17224821,17224943
chr18,50118893,50118995
chrX,121191004,121191057
chr6,47723103,47723160
chr2,27464768,27464826
chr9,20487532,20487618
chr5,108026863,108026982
chr7,27975689,27975742
chr10,81840897,81840950
chr11,41923049,41923164
chr11,95120533,95120632
chr12,19881424,19881527
chr12,19981858,19981918
chr12,29178506,29178559
chr12,83000525,83000578
chr12,85504955,85505057
chr12,120990899,120990952
chr13,111158984,111159060
chr16,10886573,10886626
chr16,10886758,10886832
chr16,17845788,17845844
chr3,69457748,69457827
chr4,40761348,40761493
chr6,50077086,50077218
chr6,114505961,114506058
chr8,4628433,4628495
chrX,124532083,124532138
chrX,160212976,160213038
chr15,36838715,36838874
chr6,114539260,114539376
chr7,29222101,29222185
chr4,146888984,146889075
chr8,57997983,57998036
chr17,7098131,7098225
chr13,15914739,15914792
chr10,24342581,24342634
chr6,47717030,47717102
chr11,119731186,119731260
chr12,24757151,24757360
chr8,71942725,71942778
chr2,150168491,150168544
chr11,3093189,3093455
chr8,56201390,56201508
chr1,193176027,193176132
chr6,7793712,7793995
chr18,36434606,36434715
chr11,56989616,56989669
chr19,46027909,46027962
chr4,127006643,127006705
chr8,19772537,19772595
chr12,23553627,23553732
chr4,40385646,40385699
chr13,67418197,67418301
chr3,88615360,88615485
chr8,57977244,57977297
chr6,35330049,35330120
chr8,56199177,56199412
chr11,98938611,98938666
chr11,6250994,6251163
chr11,50679497,50679659
chr12,20441305,20441412
chr12,109373491,109373635
chr14,105115048,105115181
chr6,57437334,57437409
chr7,147066786,147066839
chr2,20821691,20821768
chrX,121941568,121941621
chr17,33944479,33944558
chr2,51482236,51482293
chr1,13070373,13070457
chr1,39517539,39517592
chr3,41425226,41425301
chr8,56205772,56205831
chr10,110806510,110806594
chr10,70311264,70311323
chr2,172922836,172923031
chr4,138894232,138894285
chr7,30562244,30562386
chr6,47698545,47698658
chr9,96372999,96373052
chr8,19854748,19854829
chr5,116566636,116566716
chr9,20204515,20204573
chr17,71062848,71063043
chr3,120952752,120952872
chr9,107790869,107790953
chr13,65724769,65724822
chr12,20776877,20776971
chr2,29933228,29933313
chr8,72289992,72290073
chrX,166440817,166440876
chr6,47718445,47718614
chr11,101995583,101995636
chr6,47605940,47606052
chr3,51359303,51359362
chr1,26390109,26390186
chr8,71943565,71943650
chr11,106874142,106874219
chr10,68798426,68798521
chr5,105315478,105315571
chr8,72077809,72077863
chr4,146888792,146888861
chr4,136975372,136975440
chr6,3151007,3151111
chr10,56126444,56126540
chr6,114498060,114498146
chr12,18927978,18928072
chr12,113790403,113790470
chr13,56045386,56045439
chr14,61796458,61796526
chr17,6775371,6775424
chr17,35693888,35694083
chr18,39433973,39434026
chr18,55474284,55474345
chr2,174865437,174865534
chr6,114571921,114571974
chr7,6268710,6268830
chr7,19787860,19787961
chr7,46729340,46729413
chr7,104510077,104510145
chr9,22290800,22290883
chr9,31575609,31575701
chrX,120876234,120876307
chr8,19946487,19946576
chr6,47631017,47631077
chr12,99486209,99486266
chrX,122842549,122842642
chr6,47605116,47605180
chr1,59652415,59652491
chr10,81183216,81183269
chr10,81414307,81414360
chr11,98833729,98833782
chr17,33378330,33378383
chr19,56397268,56397329
chr2,90955347,90955425
chr2,143759744,143759828
chr4,51890129,51890208
chr7,31881601,31881696
chr8,19784599,19784670
chr6,88528056,88528227
chr1,85158387,85158440
chr12,21935895,21935994
chr9,30257529,30257644
chrX,121028260,121028320
chr13,9541927,9541980
chr6,137616999,137617052
chr7,13396073,13396203
chr5,58391857,58391915
chr7,88862020,88862073
chr12,19655662,19655726
chr17,42881236,42881332
chr4,149239898,149240151
chr7,6571049,6571102
chr8,27080201,27080286
chr17,41121894,41121947
chr6,3151173,3151267
chr6,114442995,114443071
chr17,69714538,69714662
chr1,192944823,192944876
chr6,114515315,114515510
chrX,114442144,114442197
chr7,140902782,140902840
chr10,57687622,57687787
chr10,57688064,57688164
chr11,4277056,4277185
chr13,9833661,9833740
chr18,68851742,68851810
chr8,56205532,56205627
chr18,47157601,47157665
chr8,71945696,71945780
chr17,48044692,48044775
chr5,33080283,33080393
chr8,72047770,72047867
chrX,120341137,120341199
chr6,47614500,47614641
chr8,71998773,71999001
chr7,27975400,27975516
chr2,32768018,32768178
chr18,75403267,75403345
chr13,113368420,113368492
chr17,39980761,39981722
chr12,111656966,111657168
chr17,24130568,24130816
chr13,65589186,65589264
chr6,47694189,47694293
chr3,21597385,21597449
chr15,75777869,75777922
chrX,166443142,166443373
chr3,6116103,6116157
chr2,181665608,181665663
chr1,183673235,183673327
chr8,72062608,72062671
chr17,22130087,22130140
chr6,114505461,114505541
chr6,145117527,145117583
chr7,66937133,66937247
chr17,9336228,9336331
chr6,114454312,114454449
chr11,109965455,109965540
chr12,18142330,18142395
chr12,24300089,24300202
chr13,62471097,62471150
chr15,99483601,99483691
chr17,33471533,33471613
chr6,114478383,114478454
chr6,133929697,133929753
chr17,39985413,39985759
chr1,87911648,87911726
chr1,145167820,145167873
chr13,68480235,68480299
chr14,12940614,12940667
chr17,28131213,28131338
chr3,36408947,36409019
chr5,109907593,109907666
chr6,23108359,23108424
chr8,126518274,126518360
chr9,108100044,108100146
chrX,80764936,80765039
chr8,56204600,56204765
chr5,77573732,77573790
chr6,47609434,47609487
chr17,71313043,71313104
chr8,56207829,56207926
chr16,86821030,86821247
chr1,183673529,183673700
chr1,156949675,156949756
chr6,47610183,47610252
chr18,43073599,43073655
chr11,33654985,33655038
chr8,72066674,72066735
chr15,37132969,37133038
chr8,19921166,19921222
chr8,19698762,19698822
chr16,3122981,3123080
chr8,15519802,15519971
chr12,79451938,79452080
chr6,3150792,3150958
chr8,19925242,19925330
chr17,39979968,39980491
chr10,105775466,105775536
chr8,19925119,19925192
chr12,78882451,78882558
chr10,29690779,29690834
chr13,87808255,87808308
chr7,38986030,38986198
chr5,33076638,33076844
chr11,4277243,4277422
chr2,28319607,28319764
chr2,27352559,27352621
chr7,30691268,30691413
chr18,90679508,90679568
chr3,127912974,127913029
chr11,3034379,3034520
chr13,44965320,44965380
chr1,85086268,85086322
chr11,3036130,3036183
chr6,145881444,145881533
chr6,47613711,47613799
chr7,26455135,26455442
chr8,19924202,19924694
chr1,102635475,102635529
chr4,34627898,34627978
chr16,11144044,11144383
chr17,39983662,39984063
chr9,56071433,56071547
chr9,3036804,3036869
chr8,56208731,56208856
chr11,3030788,3030878
chr8,72077022,72077105
chr3,87229063,87229121
chr8,19717001,19717103
chr1,69503343,69503436
chr8,19925416,19925646
chr8,19971273,19971382
chr11,52209564,52209660
chr14,59277559,59277613
chr19,50385124,50385178
chr17,39985077,39985264
chr4,3639350,3639450
chr16,35981805,35981896
chr7,12595797,12595889
chr7,136792583,136792748
chr2,110133790,110133849
chr6,47702882,47702984
chr12,98299789,98299968
chr8,20020014,20020067
chr18,40467856,40467913
chr8,19926389,19926526
chr10,37540277,37540331
chr6,56183672,56183725
chr9,90197171,90197224
chr11,3059751,3059820
chr4,150298157,150298266
chr8,19784727,19784807
chrX,121301408,121301504
chr8,71943756,71943849
chr2,27353367,27353514
chr18,7033733,7033786
chr3,5860391,5860552
chr17,39983359,39983473
chr12,16754638,16754703
chr17,39982675,39983060
chr4,152527192,152527315
chr17,17341954,17342179
chrX,121017128,121017190
chr9,56071627,56071753
chr9,3019234,3019443
chr9,3027460,3027702
chr2,154667861,154668035
chr8,36197972,36198038
chr5,103359685,103359775
chr2,83495391,83495486
chr6,47728157,47728238
chr6,47635333,47635459
chr8,19685215,19685279
chr9,3030488,3030744
chr9,3017707,3017770
chrX,139917573,139917638
chr14,45291574,45291697
chr9,3021494,3021729
chr6,49186486,49186594
chr8,19772326,19772430
chr6,47626613,47626712
chr8,19920899,19921016
chr8,71996545,71996729
chrX,120781245,120781302
chr8,19759817,19759903
chr8,19926627,19927038
chr9,3021857,3021913
chr9,3011508,3011859
chr9,3037133,3037306
chr9,3016470,3016699
chr16,18533316,18533395
chr1,195054030,195054101
chr15,47371561,47371670
chr10,57694617,57694730
chr9,3017439,3017576
chr6,44742934,44743052
chr9,3007902,3008141
chrX,120337963,120338044
chrX,166440628,166440707
chrM,15829,16104
chr11,3068817,3068873
chr9,3028987,3029066
chr8,19920489,19920635
chr9,3005186,3005313
chr6,9839980,9840044
chr9,3003883,3003937
chr13,67508205,67508277
chr17,39984426,39984531
chr9,3033093,3033316
chr17,39984611,39984716
chr9,3026603,3026814
chr11,3093556,3093618
chr9,3026287,3026461
chr6,3151456,3151527
chr2,66930093,66930178
chrY,2891875,2891983
chr9,3022931,3023005
chr9,3029432,3029570
chr9,3036410,3036472
chr9,3036659,3036754
chr17,35715304,35715562
chr9,3032839,3032940
chr9,3037836,3038050
chrX,121314584,121314643
chr5,113662490,113662587
chr9,3010230,3010446
chr9,3014709,3014947
chr4,70039161,70039247
chr17,39984832,39985008
chrY,2892514,2892615
chr10,57694029,57694190
chr17,39984122,39984290
chr9,3024790,3024865
chr9,3007546,3007657
chr6,47713328,47713418
chr4,3092358,3092445
chr2,98506577,98506659
chr9,3013420,3013525
chr3,5860609,5860733
chr18,48170095,48170157
chr9,3023850,3023928
chr9,3002685,3002797
chr11,3036837,3036938
chr9,3037361,3037453
chr9,3013686,3013862
chr8,19760128,19760310
chr9,3009977,3010074
chrY,2797300,2797375
chr9,3035368,3035439
chr9,3010592,3010648
chr9,3002554,3002611
chr9,3015687,3015824
chrY,2857738,2857800
chrX,121307383,121307477
chr9,3030148,3030354
chr8,69897917,69897996
chr9,3034283,3034546
chr9,3035959,3036095
chr17,39980607,39980706
chr9,3034617,3034700
chr9,3030818,3030908
chr18,8235916,8235985
chrX,166649932,166650287
chr9,3018923,3019175
chr9,3009557,3009641
chr9,3001145,3001511
chr9,3029203,3029267
chr2,98503974,98504239
chr9,27020795,27020849
chr9,3025665,3026028
chr9,3027771,3027903
chr13,77578183,77578289
chr9,3032577,3032753
chr9,3015953,3016203
chr11,121843699,121843842
chr9,3032019,3032527
chr9,3021991,3022252
chr9,3022701,3022761
chr9,3015211,3015473
chr9,3020140,3020306
chr9,3019704,3019991
chr9,3001678,3001876
chr14,86598817,86598936
chr9,3007111,3007428
chr8,19924806,19924937
chr2,181747506,181747941
chr9,3035701,3035902
chr9,3028510,3028678
chr5,152537144,152537246
chr9,3036536,3036598
chrY,2652236,2652298
chr12,75905417,75905490
chr9,3020840,3021235
chr9,95326364,95326422
chr9,3006229,3006519
chr9,3012101,3012384
chr9,3005653,3005984
chr9,3013012,3013092
chr9,3031225,3031373
chr9,3009293,3009501
chr9,24346466,24346578
chr9,3002027,3002342
chr2,98502405,98503120
chr9,3012748,3012956
chr9,3034858,3035259
chr9,3014041,3014458
chr9,3004499,3004829
chr9,3003313,3003747
chr9,3002955,3003166
chr9,3009707,3009887
chr9,3025009,3025234
chr9,3027111,3027278
chr9,3016965,3017226
chr9,3017840,3018103
chr9,3028065,3028211
chr9,3029667,3029855
chr9,3028779,3028888
chr18,90771599,90772013
chr9,3004005,3004273
chr9,3013156,3013336
chr9,3018312,3018699
chr9,35112812,35113158
chr9,3031670,3031871
chr9,3022462,3022619
chr17,39982027,39982574
chrX,120118810,120118887
chr9,3000752,3001033
chrX,166527180,166527493
chr2,57481920,57482115
chr9,3020467,3020673
chr12,3109887,3110102
chr6,103599083,103599271
chr9,3008448,3008763
chr9,3024398,3024662
chr9,3025458,3025610
chr9,3038102,3038276
chr2,98505215,98505362
chr9,3023448,3023735
chr9,3033689,3034044
chr9,3024077,3024274
chr17,13743597,13743685
chr17,13745497,13745551
chr2,98506727,98507166
chr2,98507217,98507473
chr9,3006666,3006889
chr2,98506415,98506510
chr17,3082277,3082430
chr9,3000022,3000619
chr9,3036237,3036346
chr11,3074027,3074117
chr17,39983139,39983193
chrY,2857894,2857991
chr17,13743907,13743980
chrY,2792987,2793072
chr9,3010816,3011178
chr17,13745716,13745820
